Config,Algo,Preset,Lr,Dim,Alpha,Factor
exp-1017-sd15-loha4a2-Prodigy,loha,attn-mlp,1,4,2,N/A
exp-1021-sd15-lokrf8d8a4,lokr,attn-mlp,0.0005,8,4,8
exp-1022-sd15-lokrf8dinf,lokr,attn-mlp,0.0005,10000,1,8
exp-1023-sd15-lokrfm1d8,lokr,attn-mlp,0.0005,8,4,108
exp-1024-sd15-lokrf12d8,lokr,attn-mlp,0.0005,8,4,12
exp-1025-sd15-lokrconf8d8a4,lokr,full,0.0005,8,4,8
exp-1026-sd15-lokrattnonlyf8d8a4,lokr,attn-only,0.0005,8,4,8
exp-1027-sd15-lokrf8d8a4-scalar,lokr,attn-mlp,0.0005,8,4,8
exp-1028-sd15-lokrf8d8a4-Prodigy,lokr,attn-mlp,1,8,4,8
exp-1051-sd15-loha4a2-lr1e-3,loha,attn-mlp,0.001,4,2,N/A
exp-1052-sd15-loha4a2-lr5e-3,loha,attn-mlp,0.005,4,2,N/A
exp-1053-sd15-lokrf8dinf-lr1e-3,lokr,attn-mlp,0.001,10000,1,8
exp-1054-sd15-lokrf8dinf-lr5e-3,lokr,attn-mlp,0.005,10000,1,8
exp-1055-sd15-lokrf4dinf,lokr,attn-mlp,0.0005,10000,1,4
exp-1056-sd15-lokrf4dinf-lr1e-3,lokr,attn-mlp,0.001,10000,1,4
exp-1057-sd15-lokrf4dinf-lr5e-3,lokr,attn-mlp,0.005,10000,1,4
exp-1058-sd15-lora8a4-lr1e-4,lora,attn-mlp,0.0001,8,4,N/A
exp-1059-sd15-lora8a4-lr5e-5,lora,attn-mlp,0.00005,8,4,N/A
exp-1061-sd15-lokrconf8dinf,lokr,full,0.0005,10000,1,8
exp-1062-sd15-lokrattnonly8dinf,lokr,attn-only,0.0005,10000,1,8
exp-1063-sd15-lokrconf12dinf,lokr,attn-mlp,0.0005,10000,1,12
exp-1101-sd15-nt,db,full,0.000001,N/A,N/A,N/A
exp-1102-sd15-nt-Prodigy,db,full,1,N/A,N/A,N/A
exp-1001-sd15-lora8a4,lora,attn-mlp,0.0005,8,4,N/A
exp-1002-sd15-lora32a16,lora,attn-mlp,0.0005,32,16,N/A
exp-1003-sd15-lora32a1,lora,attn-mlp,0.0005,32,1,N/A
exp-1004-sd15-locon8a4,lora,full,0.0005,8,4,N/A
exp-1005-sd15-loraattnonly8a4,lora,attn-only,0.0005,8,4,N/A
exp-1006-sd15-lora8a4-scalar,lora,attn-mlp,0.0005,8,4,N/A
exp-1007-sd15-lora8a4-Prodigy,lora,attn-mlp,1,8,4,N/A
exp-1011-sd15-loha4a2,loha,attn-mlp,0.0005,4,2,N/A
exp-1012-sd15-loha16a8,loha,attn-mlp,0.0005,16,8,N/A
exp-1013-sd15-loha16a1,loha,attn-mlp,0.0005,16,1,N/A
exp-1014-sd15-lohacon4a2,loha,full,0.0005,4,2,N/A
exp-1015-sd15-lohaatnonly4a2,loha,attn-only,0.0005,4,2,N/A
exp-1016-sd15-loha4a2-scalar,loha,attn-mlp,0.0005,4,2,N/A
