Folder,Artifact-padding,Liqe-resize,Maniqa-resize
exp-1101-sd15-nt-b-000010/scene/scene_canal/in_dist_prompts,2.296875,2.8373203,0.6918153166770935
exp-1101-sd15-nt-b-000010/scene/scene_canal/out_dist_prompts,2.025390625,3.008364,0.6576037406921387
exp-1101-sd15-nt-b-000010/scene/scene_garden/in_dist_prompts,2.205078125,2.7713718,0.6879812479019165
exp-1101-sd15-nt-b-000010/scene/scene_garden/out_dist_prompts,2.33203125,2.900249,0.6183940172195435
exp-1101-sd15-nt-b-000010/scene/scene_waterfall/in_dist_prompts,1.4169921875,3.1670077,0.5044843554496765
exp-1101-sd15-nt-b-000010/scene/scene_waterfall/out_dist_prompts,2.169921875,2.8865826,0.5234172940254211
exp-1101-sd15-nt-b-000010/scene/scene_castle/in_dist_prompts,2.46875,2.731744,0.6178256869316101
exp-1101-sd15-nt-b-000010/scene/scene_castle/out_dist_prompts,1.794921875,2.9938562,0.6216366291046143
exp-1101-sd15-nt-b-000010/scene/scene_sculpture1/in_dist_prompts,3.16796875,2.7107937,0.5569372773170471
exp-1101-sd15-nt-b-000010/scene/scene_sculpture1/out_dist_prompts,2.748046875,2.886236,0.574277937412262
exp-1101-sd15-nt-b-000010/style/felix_vallotton_stroke/in_dist_captions,1.7236328125,2.7641783,0.5224239230155945
exp-1101-sd15-nt-b-000010/style/felix_vallotton_stroke/out_dist_prompts,1.8701171875,2.7963228,0.6068805456161499
exp-1101-sd15-nt-b-000010/style/ghibi_alter/in_dist_prompts,3.189453125,2.7928224,0.5683860182762146
exp-1101-sd15-nt-b-000010/style/ghibi_alter/out_dist_prompts,2.458984375,2.687101,0.5679472088813782
exp-1101-sd15-nt-b-000010/style/ukiyo_e/in_dist_prompts,2.513671875,2.9802911,0.592983603477478
exp-1101-sd15-nt-b-000010/style/ukiyo_e/out_dist_prompts,2.275390625,2.8898427,0.6069995164871216
exp-1101-sd15-nt-b-000010/style/impressionism/in_dist_prompts,1.5751953125,2.718507,0.3621742725372314
exp-1101-sd15-nt-b-000010/style/impressionism/out_dist_prompts,2.06640625,2.6842632,0.3650076389312744
exp-1101-sd15-nt-b-000010/style/vladimir_borovikovsky/in_dist_prompts,2.3046875,2.917683,0.4715212285518646
exp-1101-sd15-nt-b-000010/style/vladimir_borovikovsky/out_dist_prompts,2.115234375,2.7936404,0.5257095098495483
exp-1101-sd15-nt-b-000010/style/pencil_drawing/in_dist_prompts,2.32421875,2.8030653,0.4674166738986969
exp-1101-sd15-nt-b-000010/style/pencil_drawing/out_dist_prompts,2.205078125,2.7259235,0.4708969593048095
exp-1101-sd15-nt-b-000010/style/ghibi/in_dist_prompts,3.2890625,3.0442386,0.551637589931488
exp-1101-sd15-nt-b-000010/style/ghibi/out_dist_prompts,2.50390625,2.9035296,0.5822720527648926
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_bunny/in_dist_prompts,2.42578125,2.7065678,0.6050121784210205
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_bunny/out_dist_prompts,2.26171875,2.7156591,0.5784339308738708
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_teddybear/in_dist_prompts,2.17578125,2.796691,0.6410576105117798
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_teddybear/out_dist_prompts,2.541015625,2.806723,0.6097700595855713
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_pink/in_dist_prompts,2.75,2.6758103,0.5377476215362549
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_pink/out_dist_prompts,2.896484375,2.6884024,0.5638198852539062
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_panda/in_dist_prompts,2.767578125,2.9540207,0.6286251544952393
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_panda/out_dist_prompts,2.63671875,2.8797867,0.6056252717971802
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_lobster/in_dist_prompts,3.52734375,2.8902347,0.6065656542778015
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_lobster/out_dist_prompts,3.271484375,2.8162012,0.631921112537384
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_tortoise/in_dist_prompts,2.640625,2.9346514,0.6749898791313171
exp-1101-sd15-nt-b-000010/stuffed_toy/plushie_tortoise/out_dist_prompts,2.673828125,2.978581,0.67634117603302
exp-1101-sd15-nt-b-000010/anime/yuuki_makoto/in_dist_prompts,2.7265625,2.9294474,0.3931825757026672
exp-1101-sd15-nt-b-000010/anime/yuuki_makoto/out_dist_prompts,2.798828125,3.0617156,0.453008621931076
exp-1101-sd15-nt-b-000010/anime/yuuki_makoto/out_dist_prompts_tags,2.775390625,3.1292946,0.4649124145507812
exp-1101-sd15-nt-b-000010/anime/tsushima_yoshiko/in_dist_prompts,3.333984375,2.9635892,0.4372625052928924
exp-1101-sd15-nt-b-000010/anime/tsushima_yoshiko/out_dist_prompts,3.357421875,3.0207422,0.4700661599636078
exp-1101-sd15-nt-b-000010/anime/tsushima_yoshiko/out_dist_prompts_tags,3.208984375,3.1024194,0.4995087385177612
exp-1101-sd15-nt-b-000010/anime/abukuma/toid outfit/in_dist_prompts,3.171875,2.9541812,0.449741929769516
exp-1101-sd15-nt-b-000010/anime/abukuma/toid outfit/out_dist_prompts,3.25390625,2.9738376,0.4432362020015716
exp-1101-sd15-nt-b-000010/anime/abukuma/toid outfit/out_dist_prompts_tags,3.35546875,3.0189276,0.4693508446216583
exp-1101-sd15-nt-b-000010/anime/abukuma/none/in_dist_prompts,3.359375,2.9779248,0.43949756026268
exp-1101-sd15-nt-b-000010/anime/abukuma/none/out_dist_prompts,3.23828125,2.9750378,0.4292463958263397
exp-1101-sd15-nt-b-000010/anime/abukuma/none/out_dist_prompts_tags,3.2734375,3.0633957,0.4757292568683624
exp-1101-sd15-nt-b-000010/anime/abukuma/onex outfit/in_dist_prompts,3.052734375,2.9210474,0.4449650943279266
exp-1101-sd15-nt-b-000010/anime/abukuma/onex outfit/out_dist_prompts,3.21484375,2.993625,0.4575850367546081
exp-1101-sd15-nt-b-000010/anime/abukuma/onex outfit/out_dist_prompts_tags,3.345703125,3.0161004,0.4653933048248291
exp-1101-sd15-nt-b-000010/anime/kotomine_kirei/in_dist_prompts,2.947265625,3.0990808,0.4563190042972564
exp-1101-sd15-nt-b-000010/anime/kotomine_kirei/out_dist_prompts,3.19921875,3.068427,0.4847587943077087
exp-1101-sd15-nt-b-000010/anime/kotomine_kirei/out_dist_prompts_tags,3.109375,3.112038,0.4929727911949157
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/in_dist_prompts,2.9921875,2.8429034,0.4440230429172516
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/out_dist_prompts,3.052734375,2.8517272,0.456472635269165
exp-1101-sd15-nt-b-000010/anime/ikamusume/dca outfit/out_dist_prompts_tags,3.130859375,2.9190338,0.4608308672904968
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/in_dist_prompts,3.146484375,2.9420054,0.4660155773162842
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/out_dist_prompts,3.19921875,2.8422854,0.4422328472137451
exp-1101-sd15-nt-b-000010/anime/ikamusume/none/out_dist_prompts_tags,3.13671875,2.9447029,0.4820493757724762
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/in_dist_prompts,3.21484375,2.8857484,0.4646089076995849
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/out_dist_prompts,3.203125,2.8580065,0.4637020528316498
exp-1101-sd15-nt-b-000010/anime/ikamusume/wafc outfit/out_dist_prompts_tags,3.201171875,2.9231484,0.479516327381134
exp-1101-sd15-nt-b-000010/people/K-2SO/in_dist_prompts,1.9970703125,3.022631,0.6039668917655945
