Folder,Style Loss (base model),Image Similarity (clip-L-14-resize) (in),Squared Centroid Distance (clip-L-14-resize) (in),Image Similarity (clip-L-14-resize) (out),Squared Centroid Distance (clip-L-14-resize) (out),Image Similarity (clip-L-14-resize) (trigger),Squared Centroid Distance (clip-L-14-resize) (trigger),Image Similarity (clip-L-14-crop) (in),Squared Centroid Distance (clip-L-14-crop) (in),Image Similarity (clip-L-14-crop) (out),Squared Centroid Distance (clip-L-14-crop) (out),Image Similarity (clip-L-14-crop) (trigger),Squared Centroid Distance (clip-L-14-crop) (trigger),Image Similarity (clip-L-14-padding) (in),Squared Centroid Distance (clip-L-14-padding) (in),Image Similarity (clip-L-14-padding) (out),Squared Centroid Distance (clip-L-14-padding) (out),Image Similarity (clip-L-14-padding) (trigger),Squared Centroid Distance (clip-L-14-padding) (trigger),Image Similarity (convnextv2-l-resize) (in),Squared Centroid Distance (convnextv2-l-resize) (in),Image Similarity (convnextv2-l-resize) (out),Squared Centroid Distance (convnextv2-l-resize) (out),Image Similarity (convnextv2-l-resize) (trigger),Squared Centroid Distance (convnextv2-l-resize) (trigger),Image Similarity (convnextv2-l-crop) (in),Squared Centroid Distance (convnextv2-l-crop) (in),Image Similarity (convnextv2-l-crop) (out),Squared Centroid Distance (convnextv2-l-crop) (out),Image Similarity (convnextv2-l-crop) (trigger),Squared Centroid Distance (convnextv2-l-crop) (trigger),Image Similarity (convnextv2-l-padding) (in),Squared Centroid Distance (convnextv2-l-padding) (in),Image Similarity (convnextv2-l-padding) (out),Squared Centroid Distance (convnextv2-l-padding) (out),Image Similarity (convnextv2-l-padding) (trigger),Squared Centroid Distance (convnextv2-l-padding) (trigger),Vendi (dinov2-l-fb) (in),Vendi (dinov2-l-fb) (trigger),Vendi (dinov2-l-fb) (out),Vendi (clip-L-14) (in),Vendi (clip-L-14) (trigger),Vendi (clip-L-14) (out),Vendi (convnextv2-l) (in),Vendi (convnextv2-l) (trigger),Vendi (convnextv2-l) (out),Text Similarity (in),Text Similarity (out),Text Similarity (trigger)
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/scene/scene_canal,3146.994384765625,0.5863017439842224,0.4290919601917267,0.630141019821167,0.3494703471660614,0.6346163153648376,0.3703031539916992,0.5876895785331726,0.4097048044204712,0.6298848390579224,0.3333772420883178,0.6343515515327454,0.3542244434356689,0.5803886651992798,0.441648781299591,0.6241412162780762,0.3622065186500549,0.6246315836906433,0.3910065293312073,0.6380634903907776,0.2958066165447235,0.6592921018600464,0.2406984865665435,0.6775352358818054,0.2627095282077789,0.6150022149085999,0.3148108720779419,0.632864773273468,0.2664330601692199,0.6492658257484436,0.2921353578567505,0.6017218232154846,0.3796996474266052,0.6267052888870239,0.3170799016952514,0.6478769183158875,0.3332412540912628,7.831864356994629,7.06781816482544,3.415210008621216,4.61803150177002,4.013547897338867,2.51227068901062,4.659304618835449,3.8753762245178223,2.4784092903137207,0.1536875218153,0.14664144814014435,0.156392902135849
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/scene/scene_garden,2139.917724609375,0.846112072467804,0.1840579211711883,0.7998718023300171,0.190118208527565,0.8515515327453613,0.1821457743644714,0.8456984162330627,0.1847656220197677,0.7994197010993958,0.1909026056528091,0.8511655330657959,0.1827959716320037,0.8450956344604492,0.1788983345031738,0.7984374165534973,0.1857945770025253,0.850197434425354,0.1776593923568725,0.9195477366447448,0.0594778433442115,0.8739786148071289,0.0717339664697647,0.9286637902259828,0.0673031434416771,0.909343957901001,0.0509078986942768,0.8580037355422974,0.0747097358107566,0.914909839630127,0.0658310055732727,0.9197028279304504,0.0588843747973442,0.873828649520874,0.0717539116740226,0.9288017749786376,0.066741332411766,1.9968798160552976,1.886923909187317,1.879956007003784,1.69173002243042,1.6016087532043457,1.5739675760269165,1.47532856464386,1.29023540019989,1.3698062896728516,0.13223932683467865,0.1324271857738495,0.17253637313842773
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/scene/scene_waterfall,1051.41650390625,0.7809252142906189,0.2164856791496276,0.7329174876213074,0.2118721306324005,0.8108072876930237,0.1885290592908859,0.7903822660446167,0.1890317797660827,0.742508053779602,0.1841483563184738,0.8166038393974304,0.1683942526578903,0.7967168092727661,0.1889363527297973,0.7497671246528625,0.1822037100791931,0.8174121975898743,0.1793510615825653,0.7723904848098755,0.1385696530342102,0.7109498381614685,0.1319994330406189,0.807661771774292,0.105770319700241,0.7644349336624146,0.1307920962572097,0.7008454203605652,0.1285169571638107,0.79628986120224,0.1048198565840721,0.7777918577194214,0.1418134570121765,0.7255393862724304,0.1168641149997711,0.8037375211715698,0.1276597678661346,2.8974502086639404,2.4475748538970947,2.427406072616577,2.2221360206604004,1.8837475776672363,2.0189404487609863,2.710193395614624,2.2708754539489746,2.35776948928833,0.2187301516532898,0.20855407416820526,0.2013784795999527
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/scene/scene_castle,2358.429443359375,0.7312192916870117,0.1918381750583648,0.6740462183952332,0.2382267713546753,0.7301614880561829,0.245191752910614,0.7313836812973022,0.1918020844459533,0.6742184162139893,0.2381725907325744,0.7303000092506409,0.2452143281698227,0.7313836812973022,0.1918021142482757,0.6742184162139893,0.2381726056337356,0.7302999496459961,0.2452143430709839,0.7944985628128052,0.077150672674179,0.7283545136451721,0.1157230213284492,0.8062962889671326,0.1121284440159797,0.7786373496055603,0.1060102730989456,0.7184039354324341,0.1327610164880752,0.7997246384620667,0.1224160715937614,0.7944447994232178,0.0770876929163932,0.7283144593238831,0.1156322285532951,0.8062218427658081,0.1121139228343963,4.258598804473877,3.19144868850708,2.9665966033935547,3.2259633541107178,2.597681999206543,2.2073917388916016,2.740647792816162,2.139845848083496,2.2315073013305664,0.2760012745857239,0.21487489342689514,0.18114280700683594
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/scene/scene_sculpture1,1236.239990234375,0.7868441939353943,0.235243558883667,0.774476945400238,0.2327512502670288,0.7847219109535217,0.2451584041118621,0.7964962720870972,0.2185220122337341,0.7841622233390808,0.2159660756587982,0.7951948642730713,0.2267968654632568,0.8016818165779114,0.2000346034765243,0.789897084236145,0.1963798403739929,0.7997486591339111,0.2095726728439331,0.868466317653656,0.1068662405014038,0.8633112907409668,0.0917040929198265,0.8659330010414124,0.1135252267122268,0.8449478149414062,0.1373932957649231,0.8393771648406982,0.1230632737278938,0.8437782526016235,0.1413231790065765,0.847341775894165,0.1326466500759124,0.8424268960952759,0.1170049011707305,0.840715229511261,0.1474902629852295,3.036352634429932,2.95000958442688,2.162069082260132,2.360823154449463,2.2882440090179443,1.820460557937622,1.927138328552246,1.8974621295928955,1.657499074935913,0.10708564519882202,0.11248938739299774,0.1252666711807251
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/stuffed_toy/plushie_bunny,1349.293212890625,0.797980785369873,0.1511031985282898,0.7682453989982605,0.1538338959217071,0.8019906282424927,0.158107191324234,0.8033686280250549,0.140358567237854,0.773022472858429,0.1443078815937042,0.8073950409889221,0.147329643368721,0.7972705364227295,0.1444695591926574,0.766935408115387,0.1483969539403915,0.8010361790657043,0.1519619226455688,0.7533228397369385,0.0976596027612686,0.7539315223693848,0.0756592452526092,0.7654882073402405,0.0972333997488021,0.7792770862579346,0.088914543390274,0.777398407459259,0.0718797296285629,0.7927592396736145,0.0858522653579711,0.7473388910293579,0.1018249168992042,0.7487781047821045,0.07815433293581,0.7595598697662354,0.1012850552797317,2.3176934719085693,2.077967643737793,1.799957036972046,2.2890098094940186,2.1191272735595703,1.7880947589874268,2.845268964767456,2.554039478302002,1.896990776062012,0.30258864164352417,0.31701716780662537,0.31627607345581055
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/stuffed_toy/plushie_teddybear,1783.765380859375,0.8098600506782532,0.1766549497842788,0.7354589104652405,0.2009071409702301,0.7982510924339294,0.2148941159248352,0.8097448945045471,0.1767034828662872,0.7353904247283936,0.2008678913116455,0.7980955243110657,0.21502485871315,0.8097449541091919,0.1767034977674484,0.7353904247283936,0.2008678913116455,0.7980955243110657,0.21502485871315,0.8922488689422607,0.0390114784240722,0.8448746204376221,0.0573596358299255,0.8892539739608765,0.0631420239806175,0.8996816873550415,0.0370260179042816,0.8537571430206299,0.052469789981842,0.8978022933006287,0.0589268282055854,0.8920087814331055,0.0390120968222618,0.8446570634841919,0.0573104545474052,0.8890194296836853,0.0631330609321594,5.160181999206543,3.8261559009552,2.571269989013672,1.9430396556854248,1.7789379358291626,1.657250165939331,1.715328335762024,1.5277129411697388,1.4986212253570557,0.30472660064697266,0.30861061811447144,0.23480138182640076
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/stuffed_toy/plushie_pink,1065.6632080078125,0.726519763469696,0.1479401737451553,0.7084798216819763,0.1615373194217682,0.7323178648948669,0.17276531457901,0.7272540330886841,0.1474683731794357,0.7094467282295227,0.160602331161499,0.7333341836929321,0.171728566288948,0.7257823944091797,0.1448557823896408,0.7076707482337952,0.1585984677076339,0.7317348718643188,0.1693713814020156,0.5792052149772644,0.0984005555510521,0.5693005323410034,0.1216433197259903,0.594984233379364,0.1390073895454406,0.576627254486084,0.0967799797654151,0.5718080997467041,0.1098544001579284,0.5985559225082397,0.1250897049903869,0.5771533846855164,0.1001965850591659,0.5670175552368164,0.1239044070243835,0.5932889580726624,0.1400924623012542,6.9710564613342285,5.190371036529541,3.180305004119873,2.738279104232788,2.2368621826171875,1.8560047149658203,4.793223857879639,3.560699939727783,2.368211269378662,0.2681824564933777,0.2546646296977997,0.2568281888961792
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/stuffed_toy/plushie_panda,706.7609252929688,0.7661723494529724,0.1429589688777923,0.7612371444702148,0.153654545545578,0.8035402894020081,0.1578617691993713,0.7662993669509888,0.142849400639534,0.7613918781280518,0.1534846425056457,0.8037081360816956,0.1576676368713379,0.7653989195823669,0.1425714194774627,0.7603686451911926,0.1534526348114013,0.8019638657569885,0.1590777039527893,0.691664457321167,0.0721578299999237,0.6860334873199463,0.08192740380764,0.7670435905456543,0.0705550760030746,0.7045315504074097,0.0786335319280624,0.7032666206359863,0.0796757116913795,0.7842458486557007,0.0683721452951431,0.691606342792511,0.0723948329687118,0.6858949065208435,0.0823299884796142,0.7669156789779663,0.0709434002637863,5.673955917358398,2.9241533279418945,2.4636874198913574,3.064744710922241,1.8788189888000488,1.8069279193878167,5.191685676574707,2.6225690841674805,2.436371326446533,0.3254935145378113,0.2779430150985718,0.2833760976791382
ddim-v1-5-pruned-emaonly-exp-2034-sd15-nt-lr5e-6-db-c-000010/stuffed_toy/plushie_lobster,824.15966796875,0.6796666979789734,0.2103156894445419,0.6851866245269775,0.1912093758583068,0.7157087922096252,0.1868665665388107,0.6797552704811096,0.2102697193622589,0.6853017807006836,0.1911108791828155,0.7158248424530029,0.186765968799591,0.6797553300857544,0.2102697193622589,0.6853018403053284,0.1911108493804931,0.7158249020576477,0.1867659389972686,0.5531798601150513,0.1013759523630142,0.544140100479126,0.1289431452751159,0.5761207342147827,0.1030454188585281,0.5705952048301697,0.1088718473911285,0.5660946369171143,0.127365157008171,0.5965176820755005,0.1045798063278198,0.553199291229248,0.1013281792402267,0.5441865921020508,0.1288458257913589,0.5761653184890747,0.1029490530490875,10.67699909210205,8.769493103027344,3.585504531860352,3.8865151405334473,3.0290791988372803,2.164689302444458,6.35341739654541,5.22163724899292,2.8098177909851074,0.26736313104629517,0.2906954288482666,0.2663116455078125
