Folder,FD (convnextv2-l-resize),FD (dinov2-l-fb-resize),FD (clip-L-14-resize)
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-a-000010,92.07435347354932,371.6677179257349,100.2434948528579
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-a-000030,115.28227340407987,466.62890612727097,122.3178159003321
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-a-000010,107.80316297390924,478.5255963902241,108.69878828845168
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-c,101.32046299800618,443.1992688748082,112.30903486341708
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010,92.48190109888696,363.3543627588692,100.09365196183715
ddim-v1-5-pruned-emaonly-exp-1012-sd15-loha16a8-c-000010,93.40693378729202,389.8462577186037,105.8898507915369
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010,105.44761460214988,472.0215998445242,109.25308121960654
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010,94.6316833033477,368.24406807101695,100.25500365893812
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-c,90.04488202499078,395.24798061504544,106.2802425995464
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b,111.60382619694428,460.6546125277228,123.2587961310823
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-b-000010,89.38650007489628,355.2156116004671,99.4473034672385
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-a-000010,86.23895663480084,332.0612559634046,99.73825238274344
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-a-000030,103.95473408818316,444.4187810094522,114.94445398340127
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-b-000030,89.11727160774217,391.33633663734736,107.6913494081652
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-c,114.12169473257586,464.8764472376165,121.5013807425076
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-c-000010,93.72935070877064,405.8242826700721,105.58574317552724
ddim-v1-5-pruned-emaonly-exp-1023-sd15-lokrconf12-a,117.7130168857982,481.8603708435453,127.60078850388032
ddim-v1-5-pruned-emaonly-exp-1026-sd15-lokrf8-lr1e-3-b-000030,105.11814182710032,421.792736083552,114.33932749643026
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-a-000010,98.50043554383092,420.6108314077756,108.45345867680707
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-c-000030,108.92070641419376,431.0757029870424,117.52661304473634
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b-000030,94.6776372690615,399.27919354618143,113.97423097543252
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-a,103.84966590533998,429.6986123028596,110.60548954722356
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-c-000010,86.84452672763064,354.5750717400015,99.08706987493406
ddim-v1-5-pruned-emaonly-exp-1006-sd15-lora8a4-lr1e-4-a-000010,98.7461385584836,421.07045377483246,105.28657421515948
ddim-v1-5-pruned-emaonly-exp-1014-sd15-loha4a2-full-a-000030,114.79871575279536,461.2967531772788,120.22396492524092
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-a-000010,86.05783046672127,365.0217043847365,101.00114155264782
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-a-000010,87.42574345801063,364.98855298831,105.1888155855076
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000030,93.19046991643016,384.04412614120656,106.55437031486127
ddim-v1-5-pruned-emaonly-exp-1024-sd15-lokr8-full-c-000010,90.28535329932195,368.843810267796,103.1751249470384
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-a-000010,92.27730774431323,378.8240529800128,104.4538928636834
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-b,98.34279037615238,420.5088607012885,108.00655845296068
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-a-000030,87.2366159482226,375.3497940863808,103.37720096630198
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-b-000010,89.00737590824019,365.5730267251565,100.66433269505636
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-a-000030,95.72397515950252,395.2717368700178,101.59710751254988
ddim-v1-5-pruned-emaonly-exp-1011-sd15-loha4a2-a-000030,98.0172047996748,417.1235596618262,110.23345439252108
ddim-v1-5-pruned-emaonly-exp-1013-sd15-loha16a1-a-000010,85.4537094174616,339.6889320215655,96.3864438819462
ddim-v1-5-pruned-emaonly-exp-1015-sd15-loha4a2-attnonly-c,97.7537888921704,407.6714080226493,108.1641961200296
ddim-v1-5-pruned-emaonly-exp-1004-sd15-lora8a4-full-a,119.1707959346602,489.68573739196927,127.04855515481438
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-a-000030,92.26124985911495,382.60994242151537,106.0982519296191
ddim-v1-5-pruned-emaonly-exp-1017-sd15-loha4a2-lr5e-3-c-000030,103.58896055347076,438.7299100700916,113.936246322533
ddim-v1-5-pruned-emaonly-exp-1003-sd15-lora32a1-c-000030,93.49781345037196,404.00724450791313,105.87565309064672
ddim-v1-5-pruned-emaonly-exp-1005-sd15-lora8a4-attnonly-c-000030,87.5707847992785,366.9250785776821,103.54576623459144
ddim-v1-5-pruned-emaonly-exp-1022-sd15-lokrf4-c-000010,85.88792880398955,353.54279089151987,103.9198227618068
ddim-v1-5-pruned-emaonly-exp-1021-sd15-lokrf8-c-000010,86.35963720449809,353.8679511588098,99.93636280163248
