Folder,Image Similarity (convnextv2-l-resize) (in),Squared Centroid Distance (convnextv2-l-resize) (in),Image Similarity (convnextv2-l-resize) (out),Squared Centroid Distance (convnextv2-l-resize) (out),Image Similarity (convnextv2-l-resize) (trigger),Squared Centroid Distance (convnextv2-l-resize) (trigger),Image Similarity (convnextv2-l-crop) (in),Squared Centroid Distance (convnextv2-l-crop) (in),Image Similarity (convnextv2-l-crop) (out),Squared Centroid Distance (convnextv2-l-crop) (out),Image Similarity (convnextv2-l-crop) (trigger),Squared Centroid Distance (convnextv2-l-crop) (trigger),Image Similarity (convnextv2-l-padding) (in),Squared Centroid Distance (convnextv2-l-padding) (in),Image Similarity (convnextv2-l-padding) (out),Squared Centroid Distance (convnextv2-l-padding) (out),Image Similarity (convnextv2-l-padding) (trigger),Squared Centroid Distance (convnextv2-l-padding) (trigger),Image Similarity (dinov2-l-fb-resize) (in),Squared Centroid Distance (dinov2-l-fb-resize) (in),Image Similarity (dinov2-l-fb-resize) (out),Squared Centroid Distance (dinov2-l-fb-resize) (out),Image Similarity (dinov2-l-fb-resize) (trigger),Squared Centroid Distance (dinov2-l-fb-resize) (trigger),Image Similarity (dinov2-l-fb-crop) (in),Squared Centroid Distance (dinov2-l-fb-crop) (in),Image Similarity (dinov2-l-fb-crop) (out),Squared Centroid Distance (dinov2-l-fb-crop) (out),Image Similarity (dinov2-l-fb-crop) (trigger),Squared Centroid Distance (dinov2-l-fb-crop) (trigger),Image Similarity (dinov2-l-fb-padding) (in),Squared Centroid Distance (dinov2-l-fb-padding) (in),Image Similarity (dinov2-l-fb-padding) (out),Squared Centroid Distance (dinov2-l-fb-padding) (out),Image Similarity (dinov2-l-fb-padding) (trigger),Squared Centroid Distance (dinov2-l-fb-padding) (trigger),Image Similarity (clip-L-14-resize) (in),Squared Centroid Distance (clip-L-14-resize) (in),Image Similarity (clip-L-14-resize) (out),Squared Centroid Distance (clip-L-14-resize) (out),Image Similarity (clip-L-14-resize) (trigger),Squared Centroid Distance (clip-L-14-resize) (trigger),Image Similarity (clip-L-14-crop) (in),Squared Centroid Distance (clip-L-14-crop) (in),Image Similarity (clip-L-14-crop) (out),Squared Centroid Distance (clip-L-14-crop) (out),Image Similarity (clip-L-14-crop) (trigger),Squared Centroid Distance (clip-L-14-crop) (trigger),Image Similarity (clip-L-14-padding) (in),Squared Centroid Distance (clip-L-14-padding) (in),Image Similarity (clip-L-14-padding) (out),Squared Centroid Distance (clip-L-14-padding) (out),Image Similarity (clip-L-14-padding) (trigger),Squared Centroid Distance (clip-L-14-padding) (trigger),Text Similarity (in),Text Similarity (out),Text Similarity (trigger),Vendi (clip-L-14) (in),Vendi (clip-L-14) (out),Vendi (convnextv2-l) (in),Vendi (convnextv2-l) (out),Vendi (dinov2-l-fb) (in),Vendi (dinov2-l-fb) (out)
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a,0.5892887010095238,0.12067787334587303,0.4905633096333334,0.18655312905365076,0.6058013367015873,0.19861654055999997,0.5845181052555557,0.1268932481536508,0.4873024092301587,0.18975224020095235,0.6026742397936508,0.20154390399809527,0.5845696933650794,0.12851486333142859,0.48943376893333324,0.18721431134698416,0.5994480910476191,0.20972098849301585,0.5490586508077289,0.11376879096859029,0.42149388193138054,0.20356467564191136,0.5647160978497021,0.20310428508217365,0.5462232552161291,0.11614553914183659,0.4178156817810876,0.20762704637315538,0.5625564564788151,0.2041295299619909,0.5465044366745722,0.11894869312998789,0.4193747944585861,0.20787435348071748,0.561528183732714,0.20955160236784384,0.6404591949118508,0.21742351145025282,0.568072908955907,0.27228006315609765,0.648940281338162,0.2662278445396159,0.6522644735896397,0.19631181899990355,0.5789820127307422,0.2529616201065835,0.6608472982096295,0.24491182641141,0.6495017994869323,0.20409288523216096,0.5767858512392119,0.2596096790853946,0.6576077619904565,0.25364664266506826,0.22683211420263563,0.2329757369652627,0.19531654837349102,4.055841880336641,2.1193440320567483,6.309451058024451,2.5696537076102364,8.429214504938278,3.2063689299613714
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010,0.5935122886619048,0.1068964386357143,0.4871407820380952,0.1761995377190476,0.6101389342952381,0.18030545025142858,0.5890218177333334,0.11255142497619049,0.48396355221904763,0.17923116373333334,0.6070575553761904,0.18314183579809523,0.5855106144095238,0.12129862681142856,0.4839199527904762,0.18104316759523809,0.6015407302380953,0.19590027953142858,0.5570416439714887,0.10096827333526948,0.4158167191488403,0.1951307664882569,0.5722369134284201,0.1784092439427262,0.5561173129933221,0.09952288533250488,0.41338362517811006,0.1967029364903768,0.5716772958494368,0.1762344578334263,0.5547369705211549,0.10564909238190874,0.4137947384374483,0.1992462452891327,0.5690674497116179,0.1848196706885383,0.6505121800161543,0.19801449483349204,0.5702762202989488,0.25628637150639577,0.6581545478105546,0.24136487083775654,0.6619859353985105,0.17756603416232833,0.5808678510075523,0.23760376674788336,0.6695246054161162,0.22112372897920154,0.6569748998255955,0.1898438057658218,0.5771886934127126,0.24721781706526164,0.6651030610288893,0.23222254360005964,0.22671501621603962,0.24325155262436185,0.19239081669421418,4.049187847886767,2.12430755513055,6.4686522902761165,2.567793447971344,8.33328253201076,3.158189051605406
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/anime,0.5527504546666667,0.12999996333333333,0.48250805533333335,0.1378732586666667,0.5852146453333333,0.18272088433333333,0.5457761266666666,0.14195654133333332,0.4780724413333333,0.144753024,0.5793637673333333,0.19242656733333333,0.5398235259999999,0.14488927373333332,0.4720164413333333,0.1478925213333333,0.571213618,0.19975437533333332,0.5549867649873098,0.07311746080716448,0.4484136362870535,0.1178378115097681,0.5970214287439981,0.12284105320771528,0.5560201565424601,0.0662689074873924,0.4480809986591339,0.11372136374314626,0.5977406064669292,0.11662098864714303,0.5492287933826446,0.08395110666751857,0.4407117168108622,0.13255944550037385,0.5891122460365296,0.1379771843552589,0.6874353647232055,0.1944572965304056,0.6417984088261922,0.21202048758665715,0.6963147997856141,0.22317563692728676,0.7083389759063721,0.15818551878134407,0.6603388746579488,0.18047545452912647,0.716711143652598,0.18791813353697456,0.6974078257878621,0.18324865599473317,0.6504708766937256,0.20341226657231642,0.7067566990852356,0.21102786858876543,0.26354349553585055,0.27006524006525673,0.23018890221913652,3.3128879706064867,1.9819740613301597,6.801391665140787,2.7370162487030028,8.49639924367269,3.154091389973958
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/anime/abukuma,0.59996122,0.11565844333333335,0.5467574566666666,0.1416202,0.63567674,0.16760432,0.5946510233333333,0.12183331333333332,0.5436897599999999,0.14330911999999998,0.6328297866666667,0.16884934333333335,0.5874161533333333,0.13597357866666668,0.5342063300000001,0.16194648666666667,0.6188881466666667,0.1964032,0.61371581753095,0.07757801562547684,0.5249609251817068,0.12098362048466994,0.6395228306452433,0.1428477639953295,0.6171310345331827,0.06613645205895104,0.5280579030513763,0.11017864942550658,0.6438629031181335,0.12955656150976813,0.6081683139006296,0.0865143363674481,0.516031394402186,0.13668402036031088,0.6308127641677856,0.15810921043157572,0.718402087688446,0.19744592408339176,0.682949423789978,0.21097425619761148,0.7290348410606384,0.22216645876566568,0.742452343304952,0.15907921393712363,0.7059329152107239,0.1747412929932276,0.7523090044657389,0.18535280227661133,0.7287629246711731,0.18221728006998691,0.6923563877741495,0.19765354692935935,0.7386454343795776,0.20843902230262748,0.2625030626853307,0.2653248906135559,0.24695238967736563,2.7768304347991943,1.8039008378982546,5.418462594350179,2.3754489421844482,5.964119911193848,2.675231695175171
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/anime/ikamusume,0.5847502833333333,0.1468924033333333,0.5298110500000001,0.16029027333333334,0.5902417666666667,0.2052394266666667,0.57733483,0.1693130833333333,0.5240565066666666,0.17939116,0.58430861,0.2246943233333333,0.5700319966666666,0.17799486,0.5140636366666667,0.19345315,0.5710208033333334,0.24534609666666665,0.5794416864713033,0.08423982063929236,0.5172110994656881,0.10833219438791274,0.6078814069430033,0.13282964378595347,0.5816152493158976,0.08181162675221758,0.5175603032112122,0.10955276588598883,0.6094510157903036,0.1316093603769938,0.5784154733022054,0.1021690915028254,0.5125721196333567,0.13348705569903055,0.6049417853355408,0.15458579361438748,0.719804584980011,0.19115325311819706,0.7044238249460856,0.20545935134092963,0.7254366874694824,0.2262571255366007,0.7376099626223246,0.1509207189083099,0.7202542821566263,0.16917853057384488,0.7433119813601176,0.18588479359944657,0.7251187960306803,0.19124239683151245,0.7088286479314169,0.20736911396185553,0.7313588261604309,0.22513047854105628,0.23598522941271463,0.21812297900517774,0.21463138361771897,2.996826489766439,1.816378156344096,5.907912254333496,2.7765324115753174,7.7279049555460615,3.032989422480265
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/people,0.5625752958333333,0.14530829241666668,0.42330841833333344,0.18413224133333334,0.5668633003333333,0.21661017116666667,0.5628696076666667,0.1389449670333333,0.42228482933333333,0.18041075766666667,0.5709609471666667,0.20263957380000003,0.5472958826666667,0.16404156966666666,0.41223217566666664,0.19446523116666664,0.5470303553333334,0.24444992566666665,0.5331173052390417,0.14096275443832076,0.3731976067026456,0.2090391337871551,0.5276027028759321,0.23656662603219347,0.535035389661789,0.13353788678844764,0.3719825635353724,0.2078805193305015,0.5343020558357239,0.21957919076085086,0.5287311196327209,0.14532744685808816,0.3710334931810697,0.20895973592996597,0.5219254116217295,0.24351355880498887,0.6043590495983759,0.22045460393031435,0.514898838599523,0.2649008204539617,0.6175384591023128,0.25842341482639314,0.6189933349688848,0.2002217538654804,0.5286167442798615,0.24650488694508868,0.6342901219924291,0.23395548214515047,0.6077462216218312,0.2215274942417939,0.5183577770988146,0.26583434989054994,0.6204186936219533,0.2605098739266395,0.23742618784308434,0.2584739570816358,0.1891933038830757,4.543594475587209,2.534771943092346,6.227876822153727,3.1985633254051207,7.870732975006104,3.583428366978963
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/people/Admiral_Piett,0.5918757699999999,0.0996142075,0.44470592,0.16431778000000002,0.61789485,0.12541062,0.58416778,0.1089862975,0.44090136999999996,0.16589421,0.612883865,0.12938874,0.5724513250000001,0.11715440499999999,0.42585856,0.180715035,0.59021687,0.159457915,0.5789826810359955,0.09057395532727236,0.42858605086803436,0.14989316463470453,0.6141607463359833,0.1161080971360206,0.5835618823766708,0.0917693153023719,0.43033017218112946,0.15675868093967435,0.6213087141513824,0.1121658459305763,0.5693186074495316,0.10912267118692395,0.42172984778881073,0.1628262773156166,0.6020822823047638,0.13948564976453776,0.6168821752071381,0.16394340991973871,0.523532509803772,0.24038754403591156,0.6480771005153656,0.18551006168127054,0.6307774186134338,0.1398154348134994,0.5348687469959259,0.2213868945837021,0.6628923416137695,0.15954081714153284,0.6206493377685547,0.15813837200403208,0.5274570286273956,0.23427709937095637,0.6523458361625671,0.1787003874778747,0.219964325428009,0.21034087240695948,0.13649369776248926,5.443320274353027,2.818622589111328,6.128760576248169,3.5092073678970337,6.139763832092285,3.4531383514404297
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/people/Bodhi_Rook,0.4848557066666667,0.20634031333333336,0.3608248866666666,0.21105201666666665,0.48662892666666674,0.2759068633333333,0.49798371333333336,0.20050880666666662,0.37613702666666665,0.20084814333333334,0.5113052833333332,0.24697599,0.46530271333333334,0.22932085333333332,0.3505555133333333,0.2154612933333333,0.4696886166666667,0.2936594433333333,0.47333986560503644,0.22273308535416916,0.3307698766390483,0.26463411748409266,0.46330369512240094,0.3082732657591502,0.47452545166015625,0.2146233270565668,0.33107832570870716,0.25827866792678833,0.46783682703971863,0.2934684306383133,0.467318594455719,0.21806414922078446,0.3280848215023677,0.25329267978668213,0.45905693372090656,0.3000553250312805,0.5424398382504781,0.28040097157160443,0.47252632180849713,0.30291921893755597,0.5587920745213827,0.3164566457271576,0.5586358706156412,0.26574619114398956,0.4897215962409973,0.28627044955889386,0.578748861948649,0.2942811946074168,0.5460734764734904,0.2817931870619456,0.4763588507970174,0.30391813317934674,0.5611344377199808,0.3204322159290313,0.22480949759483337,0.2433620045582453,0.17458759248256683,5.146477858225505,2.6265077590942383,6.906103452046712,3.340543746948242,8.641042709350586,3.681494394938151
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/people/Rose_Tico,0.47010549,0.1292127,0.35103166,0.165943655,0.52290615,0.16942234499999997,0.47242874,0.105447612,0.34543839,0.158017725,0.52362669,0.14886344499999998,0.45530295,0.14955088,0.34215573,0.17443467000000001,0.502058415,0.20185163,0.3646257221698761,0.12118829786777495,0.24064206331968305,0.16435390710830683,0.4031376987695694,0.1906588971614837,0.3659140318632126,0.11358954384922976,0.23676463216543192,0.16708667576313013,0.40569542348384857,0.18052131682634348,0.36066859960556025,0.1280179768800735,0.23821334540843958,0.1681267991662025,0.3975229859352112,0.20080374926328656,0.5678947865962982,0.22360451519489283,0.4970945864915848,0.2580619752407074,0.5958069264888763,0.2439995408058166,0.5830325186252594,0.19662721455097193,0.5113415569067001,0.23286825418472284,0.6104319989681244,0.2180448770523071,0.5753821730613708,0.2180009931325912,0.5038120299577713,0.25400036573410034,0.6015467643737793,0.2418885082006454,0.24804770201444626,0.2594355642795563,0.1825824230909347,5.452605485916138,2.595235228538513,9.472690105438232,3.423907279968262,14.101996898651123,4.283769130706787
ddim-v1-5-pruned-emaonly-exp-1001-sd15-lora8a4-a-000010/people/Saw_Gerrera,0.6254592125,0.18662428125,0.411176475,0.284169715,0.5560012750000001,0.3856397175,0.615254135,0.18682137399999998,0.40096991,0.28437701000000004,0.5517392375,0.37395226,0.615762525,0.19414938000000004,0.40073120500000003,0.29319916749999997,0.538512015,0.40875149,0.5880990475416183,0.17382436990737912,0.3209466338157654,0.3571135401725769,0.4835544005036354,0.4391985461115837,0.5852245092391968,0.15905070304870603,0.3200797960162163,0.3383243829011917,0.4950689822435379,0.395646583288908,0.585331067442894,0.17070220410823816,0.3185054585337639,0.35333771258592606,0.4782872796058655,0.44107455760240555,0.6285694986581802,0.27442190796136856,0.4977102726697922,0.3306503891944885,0.6108776479959488,0.3589320555329323,0.6314735561609268,0.272542092949152,0.5014661103487015,0.32706616818904877,0.6182870119810104,0.34804441779851913,0.6298398077487946,0.28603509441018105,0.5006801411509514,0.33886367827653885,0.6138884723186493,0.36706700176000595,0.26151040568947787,0.3020571693778038,0.22161241620779032,3.378536641597748,2.2888267040252686,4.443397283554077,2.89987975358963,6.149184703826904,3.4082603454589844
