Folder,Liqe-resize,Maniqa-resize,Artifact-resize
scene/scene_canal,2.8105292,0.5813852548599243,2.259765625
scene/scene_garden,3.0134528,0.6296762824058533,1.7958984375
scene/scene_waterfall,3.317374,0.3545753061771393,1.185546875
scene/scene_castle,3.055222,0.454902321100235,2.32421875
scene/scene_sculpture1,2.9811473,0.5929034948348999,2.955078125
style/felix_vallotton_stroke,2.5637991,0.359462022781372,1.953125
style/ghibi_alter,2.7906756,0.3774407505989074,3.36328125
style/ukiyo_e,2.877004,0.4380172789096832,2.810546875
style/impressionism,2.6496348,0.3283439874649048,1.533203125
style/vladimir_borovikovsky,2.8732429,0.3734927475452423,2.1171875
style/pencil_drawing,2.7322257,0.4368039071559906,2.34375
style/ghibi,3.0526621,0.4476014971733093,3.236328125
stuffed_toy/plushie_bunny,2.7799213,0.5643206238746643,2.216796875
stuffed_toy/plushie_teddybear,2.9184952,0.4443758428096771,1.8056640625
stuffed_toy/plushie_pink,2.8786676,0.5601359009742737,2.7734375
stuffed_toy/plushie_panda,2.833765,0.53349769115448,2.693359375
stuffed_toy/plushie_lobster,2.9985096,0.607692301273346,3.392578125
stuffed_toy/plushie_tortoise,2.94433,0.5758669972419739,2.400390625
anime/yuuki_makoto,2.975737,0.4123590290546417,2.8671875
anime/tsushima_yoshiko,2.9796162,0.442604660987854,3.30859375
anime/abukuma/toid outfit,2.9470844,0.457958847284317,3.44140625
anime/abukuma/none,2.9323738,0.4615525305271148,3.310546875
anime/abukuma/onex outfit,3.001396,0.4618885815143585,3.400390625
anime/kotomine_kirei,3.029764,0.4009608328342438,3.310546875
anime/ikamusume/dca outfit,2.9533637,0.482336014509201,3.068359375
anime/ikamusume/none,2.9637136,0.4726966321468353,3.24609375
anime/ikamusume/wafc outfit,2.9462035,0.4870129525661468,3.21875
people/K-2SO,2.9695144,0.4692326188087463,2.2578125
people/Bodhi_Rook/illustration,2.9363158,0.5213273167610168,2.466796875
people/Bodhi_Rook/realistic,2.9889846,0.4166103601455688,2.74609375
people/Bodhi_Rook/figurine,2.8311129,0.4954704344272613,2.9765625
people/Rose_Tico/illustration,2.962162,0.4278226792812347,3.068359375
people/Rose_Tico/realistic,3.0155513,0.3912144601345062,2.76953125
"people/Saw_Gerrera/bald, realistic",2.7459018,0.2716652750968933,2.34375
"people/Saw_Gerrera/afro, realistic",2.9489155,0.3497989475727081,2.123046875
"people/Saw_Gerrera/bald, 3d",2.6960626,0.3140918612480163,2.939453125
"people/Saw_Gerrera/afro, illustration",2.9215717,0.4607651233673095,2.650390625
people/Admiral_Piett/reaslitic,2.781111,0.3236166536808014,2.68359375
people/Admiral_Piett/figurine,2.98373,0.4790002405643463,2.732421875
