Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/felix_vallotton_stroke,1507.368408203125,2211.86669921875,1583.53369140625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/ghibi_alter,1380.1748046875,655.727783203125,511.7847900390625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/ukiyo_e,2127.78857421875,1485.2890625,1439.391845703125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/impressionism,491.6488952636719,586.7423706054688,390.5278930664063
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/vladimir_borovikovsky,1061.2109375,627.3736572265625,1749.55712890625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/pencil_drawing,397.696044921875,420.6238403320313,441.243896484375
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a/style/ghibi,1693.715576171875,1108.789794921875,2127.503662109375
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/felix_vallotton_stroke,1510.4608154296875,2332.36474609375,1265.943603515625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/ghibi_alter,1649.02294921875,588.517822265625,455.986572265625
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/ukiyo_e,2142.058349609375,1377.448974609375,1168.64990234375
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/impressionism,506.6305236816406,509.6324768066406,665.08349609375
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/vladimir_borovikovsky,1100.400390625,579.9970703125,1406.9345703125
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/pencil_drawing,376.0064697265625,388.4963684082031,448.2815246582031
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-b-000030/style/ghibi,1599.9921875,1098.1888427734375,1609.65380859375
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/felix_vallotton_stroke,1449.7900390625,2174.63916015625,1271.87841796875
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/ghibi_alter,1215.428466796875,430.1712646484375,331.64678955078125
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/ukiyo_e,2470.07666015625,1486.175048828125,1367.656982421875
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/impressionism,631.3851318359375,536.8072509765625,439.2134704589844
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/vladimir_borovikovsky,1165.5125732421875,568.0621337890625,1586.241455078125
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/pencil_drawing,573.509765625,292.7025451660156,397.9265747070313
ddim-v1-5-pruned-emaonly-exp-1031-sd15-nt-a/style/ghibi,1578.768798828125,1224.8839111328125,2478.05078125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/felix_vallotton_stroke,1475.39599609375,2066.71875,1093.534912109375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/ghibi_alter,1091.889892578125,336.6261291503906,320.8247985839844
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/ukiyo_e,3042.060546875,1562.5675048828125,2028.98193359375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/impressionism,1152.8818359375,646.2037353515625,668.5482177734375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/vladimir_borovikovsky,1512.3897705078125,722.0258178710938,1623.197265625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/pencil_drawing,1230.1337890625,544.1561279296875,1601.195068359375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a-000030/style/ghibi,2558.23291015625,1418.5396728515625,5460.9716796875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/felix_vallotton_stroke,1798.18212890625,2379.1357421875,1972.02783203125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/ghibi_alter,939.9371337890624,322.2477722167969,356.9633178710937
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/ukiyo_e,1922.2236328125,1390.2723388671875,1327.0279541015625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/impressionism,591.5277099609375,478.3607482910156,531.20703125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/vladimir_borovikovsky,1437.431884765625,781.7493286132812,3303.20849609375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/pencil_drawing,393.05712890625,290.8824157714844,260.0272827148437
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-b-000010/style/ghibi,1516.01171875,1142.50927734375,2737.77587890625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/felix_vallotton_stroke,2148.6806640625,2718.6640625,1670.44189453125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/ghibi_alter,1022.8964233398438,324.9189453125,283.6678466796875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/ukiyo_e,2565.85009765625,1345.64013671875,1779.17138671875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/impressionism,909.61181640625,585.7293090820312,1199.2054443359375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/vladimir_borovikovsky,1619.802490234375,688.2943115234375,1996.121337890625
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/pencil_drawing,751.6494140625,290.1038513183594,703.0618896484375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-c-000030/style/ghibi,2223.142578125,1130.484619140625,2090.898681640625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/felix_vallotton_stroke,1450.564697265625,2067.959228515625,1154.2882080078125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/ghibi_alter,1601.229248046875,419.63189697265625,793.84375
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/ukiyo_e,2898.43017578125,1608.028564453125,2118.929931640625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/impressionism,694.1635131835938,546.79638671875,430.8316040039063
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/vladimir_borovikovsky,1214.9521484375,583.2796020507812,1548.35400390625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/pencil_drawing,592.5275268554688,360.556640625,441.9288940429688
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b/style/ghibi,2012.1182861328125,1195.359619140625,1915.0325927734373
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/felix_vallotton_stroke,1794.212158203125,2433.61669921875,1611.0919189453125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/ghibi_alter,1210.000732421875,559.260986328125,476.38323974609375
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/ukiyo_e,2211.03564453125,1322.46630859375,1280.3133544921875
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/impressionism,631.4295654296875,642.1029052734375,504.3934020996094
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/vladimir_borovikovsky,1007.385009765625,598.12939453125,1732.34130859375
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/pencil_drawing,350.8304443359375,297.6688232421875,265.09051513671875
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-c-000030/style/ghibi,1591.481201171875,1118.9666748046875,2264.1240234375
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/felix_vallotton_stroke,2019.0068359375,2405.814208984375,2459.888671875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/ghibi_alter,2727.37353515625,1141.85107421875,4150.53076171875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/ukiyo_e,983.086181640625,752.7518310546875,639.776123046875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/impressionism,416.3189392089844,720.9957885742188,1339.4830322265625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/vladimir_borovikovsky,1267.365234375,717.1239624023438,2735.41015625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/pencil_drawing,266.04266357421875,715.31884765625,2326.40625
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-b-000010/style/ghibi,1555.58984375,1119.013671875,2644.08251953125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/felix_vallotton_stroke,1882.90673828125,2423.708984375,1866.28173828125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/ghibi_alter,1765.56103515625,656.00146484375,921.3666381835938
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/ukiyo_e,1741.631591796875,1150.949951171875,1036.97998046875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/impressionism,500.93115234375,598.2608642578125,490.22509765625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/vladimir_borovikovsky,1315.9625244140625,665.95068359375,1852.2705078125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/pencil_drawing,330.69110107421875,414.4757690429688,670.289306640625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-a-000030/style/ghibi,1260.06884765625,1008.01123046875,1782.4295654296875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/felix_vallotton_stroke,2374.5224609375,2617.26171875,2912.278076171875
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/ghibi_alter,1842.941162109375,900.0044555664062,1362.245361328125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/ukiyo_e,990.6876220703124,856.39111328125,781.2711181640625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/impressionism,364.1357421875,529.7664794921875,287.9556884765625
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/vladimir_borovikovsky,1075.7490234375,583.5185546875,1475.34130859375
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/pencil_drawing,226.91311645507807,453.7612915039063,2077.012939453125
ddim-v1-5-pruned-emaonly-exp-1035-sd15-nt-lr5e-7-c-000010/style/ghibi,1490.111572265625,1038.17236328125,1844.6546630859373
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/felix_vallotton_stroke,1823.388916015625,2572.72216796875,1369.75927734375
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/ghibi_alter,1213.9228515625,436.4566650390625,606.96533203125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/ukiyo_e,2057.494873046875,1380.8372802734375,1603.60986328125
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/impressionism,579.4223022460938,562.6900634765625,460.9505004882813
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/vladimir_borovikovsky,1272.49658203125,581.8746337890625,1866.244384765625
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/pencil_drawing,392.8516845703125,359.4852294921875,353.3671875
ddim-v1-5-pruned-emaonly-exp-1032-sd15-nt-full-b-000030/style/ghibi,1606.473876953125,1183.551513671875,3339.939453125
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/felix_vallotton_stroke,2062.869873046875,2727.8583984375,1668.7171630859375
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/ghibi_alter,1368.14501953125,718.7076416015625,1672.115966796875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/ukiyo_e,1681.673095703125,1259.8680419921875,963.6948852539062
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/impressionism,582.1805419921875,886.374755859375,482.2366333007813
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/vladimir_borovikovsky,1328.089111328125,820.202392578125,2702.881591796875
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/pencil_drawing,326.2574462890625,547.6561889648438,965.0540771484376
ddim-v1-5-pruned-emaonly-exp-1033-sd15-nt-attnonly-c/style/ghibi,1660.471435546875,1060.1591796875,4070.83984375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/felix_vallotton_stroke,1328.35693359375,1823.93017578125,800.1483154296875
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/ghibi_alter,912.3946533203124,291.56805419921875,243.30401611328125
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/ukiyo_e,2190.78759765625,1185.320556640625,1511.542724609375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/impressionism,1356.9000244140625,768.953857421875,920.7435302734376
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/vladimir_borovikovsky,1704.628173828125,703.047607421875,1708.58984375
ddim-v1-5-pruned-emaonly-exp-1034-sd15-nt-lr5e-6-a/style/pencil_drawing,1124.70849609375,510.16156005859375,1316.9605712890625
