Folder,Style Loss (in),Style Loss (out),Style Loss (trigger)
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/felix_vallotton_stroke,1511.280517578125,2264.23828125,1690.7779541015625
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/ghibi_alter,1219.80322265625,732.5889892578125,696.4950561523438
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/ukiyo_e,2203.123779296875,1429.4454345703125,1185.194580078125
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/impressionism,790.4464111328125,883.4656982421875,726.8954467773438
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/vladimir_borovikovsky,1743.25537109375,888.5375366210938,1674.8890380859375
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/pencil_drawing,469.29833984375,440.9117431640625,384.4208984375
ddim-v1-5-pruned-emaonly-exp-1016-sd15-loha4a2-lr1e-3-b-000010/style/ghibi,2043.680908203125,1375.74072265625,3693.5791015625
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/felix_vallotton_stroke,1809.77783203125,2120.97900390625,2384.7158203125
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/ghibi_alter,1096.89453125,766.412353515625,525.477783203125
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/ukiyo_e,1032.806640625,858.3984375,807.38818359375
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/impressionism,485.086181640625,440.833251953125,341.63433837890625
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/vladimir_borovikovsky,782.0281982421875,575.2071533203125,1047.0989990234375
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/pencil_drawing,260.830078125,295.655029296875,206.34036254882812
ddim-v1-5-pruned-emaonly-exp-1007-sd15-lora8a4-lr5e-5-b-000010/style/ghibi,1075.10400390625,995.97900390625,1640.882080078125
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/felix_vallotton_stroke,2630.224853515625,2611.6884765625,2462.1318359375
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/ghibi_alter,1493.226806640625,524.50830078125,396.11724853515625
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/ukiyo_e,2336.28173828125,1695.0859375,1559.158203125
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/impressionism,700.9632568359375,914.9505004882812,764.1520385742188
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/vladimir_borovikovsky,771.41162109375,598.249267578125,930.6982421875
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/pencil_drawing,514.7562866210938,501.199462890625,1022.4706420898438
ddim-v1-5-pruned-emaonly-exp-1025-sd15-lokrf8-attnonly-b-000010/style/ghibi,2248.62548828125,1356.51171875,4465.2021484375
ddim-v1-5-pruned-emaonly-exp-1002-sd15-lora32a16-b/style/felix_vallotton_stroke,1246.25390625,1478.109130859375,1075.885498046875
