iter	Passed	Remaining
0	0	218
1	0	147
2	1	122
3	1	119
4	1	112
5	2	113
6	2	110
7	2	107
8	3	106
9	3	104
10	3	102
11	4	102
12	4	101
13	4	99
14	5	98
15	5	97
16	5	97
17	6	97
18	6	97
19	6	96
20	7	96
21	7	95
22	7	93
23	8	92
24	8	92
25	8	91
26	9	91
27	9	89
28	9	88
29	9	86
30	9	85
31	10	85
32	10	85
33	10	84
34	11	84
35	11	83
36	11	83
37	12	83
38	12	82
39	12	82
40	13	82
41	13	82
42	13	81
43	13	81
44	14	80
45	14	80
46	14	80
47	15	80
48	15	79
49	15	78
50	15	77
51	16	77
52	16	76
53	16	76
54	17	76
55	17	76
56	17	75
57	18	75
58	18	75
59	18	74
60	18	74
61	19	74
62	19	73
63	19	73
64	20	73
65	20	72
66	20	72
67	21	72
68	21	71
69	21	71
70	22	71
71	22	70
72	22	70
73	23	70
74	23	70
75	23	69
76	23	69
77	24	68
78	24	68
79	24	68
80	25	67
81	25	67
82	25	67
83	26	67
84	26	66
85	26	66
86	26	66
87	27	65
88	27	65
89	27	64
90	28	64
91	28	64
92	28	63
93	28	63
94	29	63
95	29	63
96	29	62
97	30	62
98	30	62
99	30	61
100	31	61
101	31	61
102	31	61
103	32	60
104	32	60
105	32	60
106	33	59
107	33	59
108	33	59
109	34	58
110	34	58
111	34	58
112	35	58
113	35	57
114	35	57
115	36	57
116	36	57
117	36	56
118	37	56
119	37	55
120	37	55
121	37	55
122	38	55
123	38	54
124	38	54
125	39	54
126	39	53
127	39	53
128	40	53
129	40	52
130	40	52
131	40	52
132	41	51
133	41	51
134	41	51
135	42	50
136	42	50
137	42	50
138	43	49
139	43	49
140	43	49
141	44	48
142	44	48
143	44	48
144	44	47
145	45	47
146	45	47
147	45	46
148	46	46
149	46	46
150	46	45
151	46	45
152	47	45
153	47	44
154	47	44
155	48	44
156	48	44
157	48	43
158	48	43
159	49	43
160	49	42
161	49	42
162	50	42
163	50	41
164	50	41
165	51	41
166	51	40
167	51	40
168	52	40
169	52	40
170	52	39
171	53	39
172	53	39
173	53	39
174	54	38
175	54	38
176	54	38
177	55	37
178	55	37
179	55	37
180	56	36
181	56	36
182	56	36
183	57	35
184	57	35
185	57	35
186	58	35
187	58	34
188	58	34
189	59	34
190	59	33
191	59	33
192	60	33
193	60	33
194	60	32
195	61	32
196	61	32
197	61	31
198	62	31
199	62	31
200	63	31
201	63	30
202	63	30
203	64	30
204	64	29
205	64	29
206	65	29
207	65	28
208	65	28
209	65	28
210	66	27
211	66	27
212	66	27
213	67	27
214	67	26
215	67	26
216	68	26
217	68	25
218	68	25
219	69	25
220	69	24
221	69	24
222	69	24
223	70	23
224	70	23
225	70	23
226	71	22
227	71	22
228	71	22
229	72	21
230	72	21
231	72	21
232	72	20
233	73	20
234	73	20
235	73	20
236	74	19
237	74	19
238	74	19
239	74	18
240	75	18
241	75	18
242	75	17
243	76	17
244	76	17
245	76	16
246	77	16
247	77	16
248	77	15
249	78	15
250	78	15
251	78	15
252	79	14
253	79	14
254	80	14
255	81	13
256	81	13
257	81	13
258	82	13
259	82	12
260	83	12
261	83	12
262	83	11
263	83	11
264	84	11
265	84	10
266	84	10
267	85	10
268	85	9
269	85	9
270	86	9
271	86	8
272	86	8
273	86	8
274	87	7
275	87	7
276	87	7
277	88	6
278	88	6
279	88	6
280	89	6
281	89	5
282	89	5
283	89	5
284	90	4
285	90	4
286	90	4
287	91	3
288	91	3
289	91	3
290	92	2
291	92	2
292	92	2
293	92	1
294	93	1
295	93	1
296	93	0
297	94	0
298	94	0
299	94	0
