iter	Passed	Remaining
0	0	222
1	1	173
2	1	154
3	2	152
4	2	145
5	2	137
6	3	139
7	3	133
8	3	126
9	4	122
10	4	120
11	4	116
12	5	115
13	5	113
14	5	112
15	6	111
16	6	110
17	6	109
18	7	107
19	7	104
20	7	103
21	8	102
22	8	98
23	8	96
24	8	96
25	9	96
26	9	95
27	9	94
28	9	93
29	10	91
30	10	91
31	10	91
32	11	90
33	11	89
34	11	89
35	11	87
36	12	86
37	12	85
38	12	85
39	13	85
40	13	84
41	13	83
42	13	82
43	13	81
44	14	81
45	14	80
46	14	80
47	15	79
48	15	78
49	15	78
50	15	77
51	16	76
52	16	76
53	16	75
54	16	75
55	17	75
56	17	73
57	17	73
58	17	72
59	18	72
60	18	71
61	18	71
62	18	70
63	18	69
64	19	69
65	19	68
66	19	68
67	19	67
68	20	67
69	20	66
70	20	66
71	20	66
72	21	65
73	21	65
74	21	64
75	21	64
76	22	64
77	22	63
78	22	63
79	23	63
80	23	62
81	23	62
82	23	62
83	24	61
84	24	61
85	24	61
86	24	60
87	25	60
88	25	60
89	25	59
90	25	59
91	26	59
92	26	58
93	26	58
94	26	58
95	27	57
96	27	57
97	27	57
98	27	56
99	28	56
100	28	56
101	28	55
102	29	55
103	29	55
104	29	54
105	29	54
106	30	54
107	30	53
108	30	53
109	30	53
110	31	52
111	31	52
112	31	52
113	31	51
114	32	51
115	32	51
116	32	50
117	32	50
118	33	50
119	33	50
120	33	49
121	33	49
122	34	49
123	34	48
124	34	48
125	34	48
126	35	47
127	35	47
128	35	47
129	36	47
130	36	47
131	36	46
132	37	46
133	37	46
134	37	45
135	37	45
136	38	45
137	38	45
138	38	44
139	39	44
140	39	44
141	39	44
142	39	43
143	40	43
144	40	43
145	40	43
146	41	42
147	41	42
148	41	42
149	41	41
150	42	41
151	42	41
152	42	41
153	43	40
154	43	40
155	43	40
156	43	40
157	44	39
158	44	39
159	44	39
160	45	38
161	45	38
162	45	38
163	45	38
164	46	37
165	46	37
166	46	37
167	47	37
168	47	36
169	47	36
170	47	36
171	48	35
172	48	35
173	48	35
174	49	35
175	49	34
176	49	34
177	49	34
178	50	33
179	50	33
180	50	33
181	50	33
182	51	32
183	51	32
184	51	32
185	52	31
186	52	31
187	52	31
188	52	31
189	53	30
190	53	30
191	53	30
192	54	29
193	54	29
194	54	29
195	54	29
196	55	28
197	55	28
198	55	28
199	55	27
200	56	27
201	56	27
202	56	27
203	57	26
204	57	26
205	57	26
206	57	26
207	58	25
208	58	25
209	58	25
210	58	24
211	59	24
212	59	24
213	59	24
214	60	23
215	60	23
216	60	23
217	60	22
218	61	22
219	61	22
220	61	22
221	62	21
222	62	21
223	62	21
224	62	20
225	63	20
226	63	20
227	63	20
228	63	19
229	64	19
230	64	19
231	64	18
232	64	18
233	65	18
234	65	18
235	65	17
236	65	17
237	66	17
238	66	16
239	66	16
240	67	16
241	67	16
242	67	15
243	67	15
244	68	15
245	68	15
246	68	14
247	69	14
248	69	14
249	69	13
250	69	13
251	70	13
252	70	13
253	70	12
254	71	12
255	71	12
256	71	11
257	72	11
258	72	11
259	72	11
260	73	10
261	73	10
262	74	10
263	74	10
264	74	9
265	75	9
266	75	9
267	75	9
268	76	8
269	76	8
270	76	8
271	76	7
272	77	7
273	77	7
274	77	7
275	78	6
276	78	6
277	78	6
278	79	5
279	79	5
280	79	5
281	80	5
282	80	4
283	80	4
284	81	4
285	81	3
286	81	3
287	82	3
288	82	3
289	82	2
290	83	2
291	83	2
292	83	2
293	84	1
294	84	1
295	84	1
296	85	0
297	86	0
298	86	0
299	86	0
